video,user,mae,rmse
8,44,5.774442195892334,8.131585121154785
8,44,5.4488444328308105,6.35443639755249
8,44,6.61113977432251,8.195961952209473
8,44,8.647623062133789,13.250445365905762
8,44,7.141700267791748,7.6912312507629395
8,44,5.59865140914917,7.662899017333984
8,44,6.530412197113037,7.6017231941223145
8,44,4.550628662109375,5.742815017700195
8,44,7.05124568939209,11.756569862365723
8,44,6.775809288024902,8.406962394714355
8,44,4.94638729095459,5.94388484954834
8,44,6.399933815002441,8.987386703491211
8,44,8.33562183380127,12.42971134185791
8,44,9.540525436401367,13.843831062316895
8,22,4.476658344268799,5.316356658935547
8,22,3.8790230751037598,4.666640758514404
8,22,5.68766975402832,7.363682270050049
8,22,4.424890041351318,5.312471389770508
8,22,5.343353271484375,6.321783065795898
8,22,4.0008864402771,5.333415508270264
8,22,2.6717000007629395,4.049039840698242
8,22,3.87481427192688,5.014395713806152
8,22,4.662580490112305,5.950472354888916
8,22,4.500373840332031,5.423666954040527
8,22,4.237066268920898,5.570376396179199
8,22,4.737508296966553,5.503431797027588
8,22,4.062250137329102,4.767190456390381
8,22,4.829844951629639,6.129786491394043
14,26,14.12869930267334,17.323122024536133
14,26,16.252275466918945,23.92034339904785
14,26,8.017647743225098,10.646358489990234
14,26,12.218484878540039,17.429224014282227
14,26,9.125809669494629,13.42426586151123
14,26,6.778651714324951,7.646571159362793
14,26,7.717385292053223,10.23087215423584
14,26,18.893970489501953,29.23465919494629
14,26,7.44182825088501,11.801316261291504
14,26,7.730973243713379,10.943623542785645
14,26,7.591185092926025,9.294485092163086
14,26,10.787495613098145,13.487778663635254
14,26,8.70416259765625,12.239633560180664
14,26,9.227591514587402,10.8229341506958
24,60,8.388938903808594,10.65977668762207
24,60,5.582942008972168,8.603346824645996
24,60,10.33970832824707,16.573467254638672
24,60,12.235251426696777,17.55350685119629
24,60,8.431177139282227,12.471195220947266
24,60,17.629850387573242,27.148971557617188
24,60,11.743176460266113,15.951395034790039
24,60,3.3597071170806885,3.825871467590332
24,60,11.918188095092773,17.863859176635742
24,60,11.616171836853027,15.883529663085938
24,60,11.852347373962402,16.26385498046875
24,60,7.446732521057129,14.106943130493164
24,60,6.071319580078125,12.75993537902832
24,60,6.938791275024414,9.311052322387695
4,83,15.488123893737793,20.364126205444336
4,83,12.725727081298828,17.70421028137207
4,83,11.744750022888184,15.562244415283203
4,83,9.790764808654785,12.30620002746582
4,83,11.527771949768066,15.989903450012207
4,83,32.517845153808594,97.82615661621094
4,83,11.442893028259277,20.174524307250977
4,83,12.853837013244629,15.778120040893555
4,83,32.414913177490234,96.60750579833984
4,83,25.21889877319336,40.47209548950195
4,83,5.169924736022949,6.065323352813721
4,83,4.468510627746582,4.986416816711426
4,83,19.360139846801758,30.314834594726562
4,83,22.567798614501953,35.29576110839844
14,55,11.054868698120117,12.991656303405762
14,55,5.95430850982666,6.73307991027832
14,55,5.829073905944824,6.576799392700195
14,55,10.266996383666992,16.792564392089844
14,55,5.927046298980713,7.726207256317139
14,55,6.000373363494873,6.894515037536621
14,55,7.465271949768066,9.221112251281738
14,55,15.499715805053711,21.25286865234375
14,55,10.689291954040527,12.652254104614258
14,55,12.975725173950195,17.712377548217773
14,55,5.847927570343018,6.624942302703857
14,55,11.850708961486816,13.687641143798828
14,55,11.015219688415527,12.684345245361328
14,55,5.893002033233643,6.655824661254883
24,53,23.98223876953125,30.886760711669922
24,53,21.796649932861328,48.10957717895508
24,53,10.727904319763184,13.36701774597168
24,53,19.167070388793945,24.010005950927734
24,53,13.86965560913086,16.114849090576172
24,53,14.235218048095703,16.806358337402344
24,53,13.915075302124023,19.184091567993164
24,53,25.696897506713867,42.82115936279297
24,53,14.974712371826172,19.643245697021484
24,53,16.6340389251709,24.33091163635254
24,53,17.133363723754883,19.125015258789062
24,53,17.280391693115234,23.320608139038086
24,53,25.740196228027344,32.941986083984375
24,53,27.23600196838379,72.41915893554688
8,15,6.988473415374756,9.230782508850098
8,15,5.731490612030029,6.932467460632324
8,15,5.8371782302856445,6.938618183135986
8,15,12.751286506652832,20.043598175048828
8,15,8.478150367736816,11.126669883728027
8,15,5.2875189781188965,5.882591724395752
8,15,4.518431663513184,5.898921012878418
8,15,6.296565055847168,9.439770698547363
8,15,16.951797485351562,20.606550216674805
8,15,10.21302318572998,12.615907669067383
8,15,5.768148899078369,6.842862129211426
8,15,5.643489360809326,6.75868558883667
8,15,18.323942184448242,26.84034538269043
8,15,14.340707778930664,18.32337188720703
14,60,8.846752166748047,10.685086250305176
14,60,9.734905242919922,14.337397575378418
14,60,4.9007039070129395,5.3749680519104
14,60,6.77935791015625,9.109850883483887
14,60,5.194780349731445,5.585529327392578
14,60,5.156794548034668,5.534594535827637
14,60,4.62318754196167,5.168288707733154
14,60,6.168721675872803,7.491867542266846
14,60,5.864600658416748,6.322626113891602
14,60,7.116050720214844,9.193196296691895
14,60,4.7782063484191895,5.222610950469971
14,60,6.639321804046631,7.181318283081055
14,60,12.250207901000977,16.375686645507812
14,60,7.424036026000977,8.705127716064453
14,48,7.772700786590576,11.950278282165527
14,48,5.726598262786865,7.998298645019531
14,48,6.893980979919434,8.425190925598145
14,48,7.658068656921387,11.528694152832031
14,48,5.2281036376953125,7.129690170288086
14,48,8.700689315795898,12.837223052978516
14,48,4.235656261444092,4.792745113372803
14,48,11.797632217407227,13.952788352966309
14,48,5.353549003601074,8.019671440124512
14,48,6.528412818908691,9.21119213104248
14,48,5.721968650817871,8.036365509033203
14,48,11.848276138305664,16.41849136352539
14,48,9.336246490478516,11.556685447692871
14,48,6.382480144500732,8.295963287353516
14,22,8.799944877624512,14.096879005432129
14,22,12.770087242126465,18.49411392211914
14,22,6.244699954986572,8.40693473815918
14,22,5.972703456878662,8.740835189819336
14,22,6.94987678527832,9.97683048248291
14,22,5.419839859008789,7.483971118927002
14,22,9.119763374328613,13.77306842803955
14,22,10.343745231628418,16.49210548400879
14,22,5.056718349456787,7.46849250793457
14,22,4.026940822601318,4.813438415527344
14,22,7.481624126434326,10.955626487731934
14,22,14.960683822631836,20.917518615722656
14,22,5.517739772796631,8.639336585998535
14,22,6.803699016571045,8.92954158782959
24,59,6.369618892669678,13.389137268066406
24,59,3.8200418949127197,6.821099281311035
24,59,9.629618644714355,16.508657455444336
24,59,8.238883972167969,10.576517105102539
24,59,17.052452087402344,21.662141799926758
24,59,7.133388042449951,10.758837699890137
24,59,14.983759880065918,22.132280349731445
24,59,6.299424648284912,10.210765838623047
24,59,10.222372055053711,16.0001277923584
24,59,10.939621925354004,16.708087921142578
24,59,5.348039627075195,7.5159220695495605
24,59,17.165616989135742,23.76295280456543
24,59,5.0169997215271,7.705216407775879
24,59,2.4466795921325684,3.7244479656219482
18,49,33.48388671875,53.47404098510742
18,49,40.50095748901367,56.22126388549805
18,49,27.13469123840332,34.06101989746094
18,49,22.69384002685547,32.71455383300781
18,49,28.06815528869629,43.04095458984375
18,49,22.31586265563965,34.69568634033203
18,49,26.147233963012695,40.77021408081055
18,49,38.766536712646484,54.63893508911133
18,49,33.06032943725586,70.95868682861328
18,49,29.29233169555664,42.08720397949219
18,49,41.246253967285156,67.79216766357422
18,49,55.0381965637207,126.72856903076172
18,49,36.01276397705078,51.493064880371094
18,83,28.101301193237305,36.9265251159668
18,83,17.303564071655273,23.772310256958008
18,83,13.974925994873047,19.555126190185547
18,83,10.026291847229004,14.959179878234863
18,83,7.254667282104492,12.247580528259277
18,83,8.599353790283203,11.160714149475098
18,83,13.27868938446045,20.82440948486328
18,83,30.362064361572266,89.85107421875
18,83,30.164825439453125,54.78451919555664
18,83,15.612645149230957,22.04349708557129
18,83,5.150304317474365,6.8967976570129395
18,83,15.823614120483398,24.43764877319336
4,30,4.353419780731201,4.8149895668029785
4,30,4.844507694244385,5.383373260498047
4,30,3.685009717941284,4.243372917175293
4,30,5.0452117919921875,6.022123336791992
4,30,4.5799946784973145,5.455843448638916
4,30,4.564953804016113,5.207985877990723
4,30,4.210019588470459,4.846255779266357
4,30,4.207955837249756,4.985477447509766
4,30,3.1330134868621826,3.5264222621917725
4,30,2.271698236465454,2.898097515106201
4,30,4.504121780395508,5.124141693115234
4,30,5.282463550567627,6.160939693450928
4,30,4.053504467010498,5.122277736663818
4,30,5.937971115112305,7.16992712020874
18,3,51.90605545043945,106.84053802490234
18,3,58.42261505126953,77.7531967163086
18,3,48.75910186767578,68.56413269042969
18,3,7.685807228088379,8.882039070129395
18,3,31.96127700805664,36.15745162963867
18,3,21.7303409576416,25.99468421936035
18,3,10.057330131530762,12.427395820617676
18,3,32.51488494873047,55.199302673339844
18,3,13.98758316040039,18.474224090576172
18,3,15.905092239379883,23.334413528442383
4,4,37.41200256347656,58.449195861816406
4,4,33.904075622558594,54.82621765136719
4,4,36.0651741027832,58.154170989990234
4,4,26.509639739990234,86.5779037475586
4,4,34.09086608886719,54.9559211730957
4,4,19.736448287963867,35.66883087158203
4,4,38.71508026123047,62.85853576660156
4,4,54.08488082885742,89.24359893798828
4,4,38.30775451660156,60.10319519042969
4,4,27.44546890258789,96.80319213867188
4,4,47.607486724853516,79.42170715332031
4,4,39.447998046875,63.74309158325195
4,4,35.638206481933594,56.75478744506836
4,4,37.031368255615234,57.548744201660156
18,47,9.965060234069824,11.84261703491211
18,47,12.628217697143555,19.272193908691406
18,47,9.086627006530762,10.87238597869873
18,47,8.702863693237305,13.279932975769043
18,47,11.824278831481934,14.338966369628906
18,47,19.116188049316406,30.178150177001953
18,47,7.374086380004883,8.964877128601074
18,47,11.31142807006836,14.538924217224121
18,47,11.642557144165039,15.786182403564453
18,47,6.0020318031311035,7.089231491088867
8,49,9.660419464111328,10.602252960205078
8,49,9.812952041625977,12.014260292053223
8,49,38.972129821777344,71.0022201538086
8,49,9.440263748168945,10.055517196655273
8,49,9.056055068969727,10.137794494628906
8,49,12.059754371643066,16.449329376220703
8,49,36.74227523803711,59.747493743896484
8,49,24.608861923217773,35.30867385864258
8,49,22.828325271606445,30.08823585510254
8,49,54.401371002197266,127.18480682373047
8,49,46.06839370727539,97.50822448730469
8,49,50.09577941894531,97.54381561279297
8,49,12.970545768737793,21.402267456054688
8,49,36.7619743347168,63.65976333618164
25,59,29.728038787841797,66.81208801269531
25,59,19.983551025390625,32.325801849365234
25,59,12.147080421447754,20.01923179626465
25,59,53.77705383300781,84.29177856445312
25,59,19.101694107055664,32.773773193359375
25,59,32.34894561767578,52.953773498535156
25,59,34.82151412963867,141.15982055664062
25,59,9.114005088806152,13.157708168029785
25,59,20.843910217285156,33.65359878540039
25,59,16.58014678955078,25.366069793701172
25,59,9.05109691619873,15.342875480651855
25,59,17.208614349365234,32.16315460205078
25,59,9.837398529052734,13.687398910522461
25,59,37.076881408691406,60.00188446044922
24,21,4.394753932952881,4.900518894195557
24,21,4.873388767242432,5.621344566345215
24,21,11.846776962280273,15.802682876586914
24,21,13.268967628479004,18.3049259185791
24,21,17.57556915283203,25.501476287841797
24,21,13.063068389892578,20.26777458190918
24,21,6.2477827072143555,8.73200798034668
24,21,6.50430965423584,8.381747245788574
24,21,7.6678619384765625,10.963260650634766
