tag,n_samples,lat_mean_ms,lat_median_ms,lat_p95_ms,lat_p99_ms,lat_std_ms,throughput_sps,trainable_params,total_params,trainable_pct,peak_mem_MB
adalora_rank32,1698,443.1815,443.3169,444.3812,445.3171,1.7091,2.256,15025155,369849443,4.0625,1461.658
adalora_rank32,1698,439.178,438.7414,442.236,442.9443,2.8738,2.277,19077103,373901391,5.1022,1477.111
