video,user,mae,rmse
4,26,5.130865573883057,5.374561786651611
4,26,15.933228492736816,22.987144470214844
4,26,4.680935382843018,5.12064790725708
4,26,4.924798488616943,5.25797176361084
4,26,27.043230056762695,74.88800811767578
4,26,4.253382682800293,4.6488800048828125
4,26,10.167597770690918,13.682069778442383
4,26,4.312002182006836,4.903593063354492
4,26,6.4510602951049805,7.131795406341553
4,26,7.352944850921631,8.592741966247559
4,26,13.351788520812988,23.137481689453125
4,26,6.130009651184082,6.4300665855407715
4,26,4.628886699676514,5.098480701446533
4,26,5.476771831512451,5.838715076446533
24,22,3.3229241371154785,3.790240526199341
24,22,8.362196922302246,9.037898063659668
24,22,5.359891891479492,6.12733793258667
24,22,5.666416645050049,6.313094139099121
24,22,4.505648136138916,5.366283893585205
24,22,9.519702911376953,10.823995590209961
24,22,4.836840629577637,5.408901214599609
24,22,10.711469650268555,12.301224708557129
24,22,8.756866455078125,9.413179397583008
24,22,6.865571022033691,7.536167621612549
24,22,8.794801712036133,13.188797950744629
24,22,7.33660364151001,12.045623779296875
24,22,5.651510715484619,6.530652046203613
24,22,18.49214744567871,24.753929138183594
4,7,19.555837631225586,28.969148635864258
4,7,13.662662506103516,22.12381935119629
4,7,7.082900047302246,8.088750839233398
4,7,7.690250873565674,8.339591979980469
4,7,7.4840168952941895,9.643250465393066
4,7,8.690444946289062,8.837428092956543
4,7,10.068558692932129,14.041705131530762
4,7,6.080382347106934,7.139378070831299
4,7,8.810745239257812,11.487828254699707
4,7,10.10685920715332,11.572611808776855
4,7,14.256083488464355,16.327600479125977
4,7,10.619301795959473,13.170775413513184
4,7,8.645092964172363,9.214422225952148
4,7,13.248411178588867,16.15996742248535
24,35,7.7414374351501465,9.705641746520996
24,35,8.95137882232666,10.691573143005371
24,35,13.295517921447754,16.845600128173828
24,35,6.73850154876709,8.034299850463867
24,35,17.256784439086914,22.02464485168457
24,35,6.998270511627197,8.419351577758789
24,35,20.449682235717773,22.620502471923828
24,35,9.66666030883789,10.847940444946289
24,35,6.82004451751709,8.885457992553711
24,35,8.941643714904785,10.797690391540527
24,35,13.498814582824707,15.95341682434082
24,35,17.127355575561523,22.231769561767578
24,35,6.979063034057617,8.25274658203125
24,35,10.108845710754395,12.941222190856934
4,60,12.072844505310059,18.184484481811523
4,60,4.900328636169434,5.93502140045166
4,60,3.900670051574707,4.795483589172363
4,60,10.661282539367676,13.926948547363281
4,60,6.707253932952881,7.240655899047852
4,60,23.239938735961914,35.13420486450195
4,60,7.184566020965576,10.017388343811035
4,60,4.676116943359375,5.761580944061279
4,60,13.465421676635742,19.71940040588379
4,60,8.18570613861084,11.169428825378418
4,60,7.012935161590576,11.130149841308594
4,60,8.786917686462402,10.860555648803711
4,60,4.84349250793457,5.633568286895752
4,60,9.893599510192871,16.67644500732422
25,49,30.22905921936035,45.02609634399414
25,49,49.67329788208008,106.12408447265625
25,49,19.826934814453125,22.94588279724121
25,49,53.84032440185547,93.59996032714844
25,49,42.06358337402344,79.45258331298828
25,49,23.47198486328125,24.750215530395508
25,49,18.197031021118164,28.572378158569336
25,49,21.627239227294922,35.8133430480957
25,49,9.185758590698242,12.667340278625488
25,49,27.50185775756836,29.37513542175293
25,49,28.92299461364746,38.234981536865234
25,49,20.825410842895508,38.827552795410156
25,49,40.31475830078125,88.50389862060547
25,49,15.186078071594238,19.91628074645996
8,3,39.99977493286133,65.27796936035156
8,3,10.300383567810059,12.137918472290039
8,3,25.344654083251953,43.75946044921875
8,3,6.761749267578125,8.47429084777832
8,3,12.118348121643066,14.413408279418945
8,3,11.352010726928711,15.023630142211914
8,3,7.3505449295043945,8.490522384643555
8,3,14.824381828308105,19.244075775146484
8,3,17.87928009033203,23.45172691345215
8,3,5.612588405609131,6.788491725921631
8,3,15.2349271774292,20.875770568847656
8,3,42.47752380371094,111.15252685546875
8,3,7.73533821105957,9.124282836914062
8,3,10.70036506652832,12.535673141479492
18,55,6.408778667449951,7.563743591308594
18,55,9.023059844970703,12.135011672973633
18,55,26.878755569458008,45.744808197021484
18,55,11.173511505126953,20.715850830078125
18,55,7.539400100708008,9.148507118225098
18,55,17.576663970947266,22.322973251342773
18,55,8.978658676147461,11.153397560119629
18,55,28.70987319946289,37.095638275146484
18,55,14.43127155303955,16.700227737426758
18,55,6.592187404632568,6.900296688079834
14,44,4.932490348815918,7.477608680725098
14,44,9.857666015625,14.449872016906738
14,44,9.198213577270508,13.201563835144043
14,44,6.145533084869385,7.997081756591797
14,44,9.287933349609375,12.95086669921875
14,44,9.354663848876953,12.713210105895996
14,44,13.99417781829834,20.488656997680664
14,44,13.972793579101562,18.93929672241211
14,44,7.499455451965332,19.482280731201172
14,44,18.52096939086914,29.431486129760742
14,44,10.12256145477295,15.76894474029541
14,44,19.560138702392578,28.147136688232422
14,44,3.6804163455963135,5.281813144683838
14,44,9.9362154006958,13.024373054504395
24,21,8.326666831970215,10.11351490020752
24,21,10.583657264709473,12.531895637512207
24,21,11.244413375854492,13.15295124053955
24,21,7.390832424163818,8.254734992980957
24,21,5.4709272384643555,6.234540939331055
24,21,5.595803737640381,7.082381725311279
24,21,17.681005477905273,23.215660095214844
24,21,7.823858261108398,10.84353256225586
24,21,4.201096534729004,5.141079902648926
24,21,8.221034049987793,10.168045043945312
24,21,9.734355926513672,11.046168327331543
24,21,11.334757804870605,17.314926147460938
24,21,7.864658832550049,10.387191772460938
24,21,5.891760349273682,6.971174240112305
14,4,10.230535507202148,12.217822074890137
14,4,7.819279193878174,8.724525451660156
14,4,6.589204788208008,7.045605659484863
14,4,19.28933334350586,29.814828872680664
14,4,6.390055179595947,7.491623878479004
14,4,27.0880184173584,98.27884674072266
14,4,5.511063575744629,6.141798496246338
14,4,10.049102783203125,12.146782875061035
14,4,6.620274066925049,8.064667701721191
14,4,21.63953971862793,36.31047821044922
14,4,7.786435604095459,9.212681770324707
14,4,43.7741813659668,70.89547729492188
14,4,8.452239990234375,9.19286060333252
14,4,13.707625389099121,22.60699462890625
14,3,24.1497859954834,28.294158935546875
14,3,17.601154327392578,25.765092849731445
14,3,10.47329044342041,12.471324920654297
14,3,12.770990371704102,17.66627311706543
14,3,3.8059003353118896,5.559360504150391
14,3,12.02493667602539,17.22920036315918
14,3,17.01490020751953,26.11688804626465
14,3,13.782671928405762,19.351160049438477
14,3,4.560740947723389,5.490346908569336
14,3,10.069123268127441,12.408101081848145
14,3,16.839988708496094,21.276582717895508
14,3,4.541251182556152,5.726954936981201
14,3,11.183451652526855,17.977277755737305
14,3,12.847697257995605,14.32838249206543
25,21,6.204012870788574,8.850639343261719
25,21,6.2163166999816895,8.811661720275879
25,21,16.98267364501953,27.95132064819336
25,21,5.8262553215026855,8.185742378234863
25,21,6.066160202026367,8.862143516540527
25,21,5.703279495239258,8.543539047241211
25,21,10.519633293151855,16.344520568847656
25,21,17.68058204650879,34.263145446777344
25,21,6.176389694213867,8.815168380737305
25,21,6.221670150756836,8.787920951843262
25,21,26.83112335205078,48.39310073852539
25,21,6.077840328216553,8.55305290222168
25,21,6.124579906463623,8.790966033935547
25,21,6.172335624694824,8.812748908996582
