module,r_surv,r_init,slack_P,slack_Q,maxcos,meancos,stable_rank,sr_over_r,lam_max,lam_min
h3.mlp.c_f,60,60,14.590842812462634,10.53983304276214,0.6847423380665918,0.1968897580200847,1.2428787864231616,0.020714646440386026,0.08755955100059509,0.00860108807682991
h2.mlp.c_pro,64,64,14.086387951104436,87.77789591029702,0.7001951098116191,0.3315744728386481,1.0397911907071076,0.016246737354798556,0.07348214834928513,0.014027689583599567
h1.mlp.c_pro,64,64,10.696138894211092,46.010645830676836,0.6687831789697016,0.21438038943958368,1.8946518332187923,0.02960393489404363,0.08542223274707794,0.026372725144028664
h23.attn.c_pro,61,61,9.648733896756944,17.4945138467556,0.8509786555994713,0.22284743805901874,1.0331662544660303,0.016937151712557875,0.08771362900733948,0.007224143948405981
h1.attn.c_pro,55,55,9.590354529422298,15.899085230457331,0.7021718179599462,0.29129913112377004,1.0610118444455647,0.019291124444464812,0.08242543041706085,0.019187644124031067
h22.mlp.c_pro,59,59,9.528714024920086,52.0268114008228,0.7782981544424432,0.24506095797522154,1.0552269736727002,0.01788520294360509,0.09402287006378174,0.0046684942208230495
h0.attn.c_pro,46,46,8.395246827364257,12.1219413405983,0.7827868937826208,0.28387780853543587,1.1291749960974138,0.024547282523856823,0.08374819159507751,0.021114623174071312
h4.mlp.c_pro,58,58,8.250334037332538,14.001156779411163,0.48896307136520467,0.18886153440755515,1.4298007108319788,0.024651736393654807,0.060509562492370605,0.01154556404799223
h20.mlp.c_f,39,39,7.6839361936025075,3.8546335026180953,0.370443576177903,0.08179363405121778,2.46149971021941,0.06311537718511308,0.04808063060045242,0.01333443820476532
h5.mlp.c_pro,51,51,7.139568670982238,21.457866635550943,0.49163458896688966,0.20538602577716028,1.2554168299481006,0.024616016273492167,0.06376135349273682,0.017195139080286026
h3.mlp.c_pro,62,62,7.01173280024955,9.891270295570333,0.4029903637888602,0.173101555776334,1.676809305274332,0.027045311375392452,0.0798637643456459,0.009266266599297523
h19.mlp.c_f,35,35,6.989247070491688,3.5299464681034163,0.3177575454165624,0.08026480535506592,2.962411700186519,0.0846403342910434,0.07079078257083893,0.015714189037680626
h0.attn.c_att,39,39,6.784090353414449,8.768266002314315,0.6596966809526044,0.24288711630340956,1.490571566728058,0.038219783762257896,0.0817091092467308,0.01963520236313343
h20.mlp.c_pro,55,55,6.549996874611049,18.787129543151053,0.5617144040994793,0.1765437970416176,1.2620581661339982,0.02294651211152724,0.05716939643025398,0.007879053242504597
h16.mlp.c_f,34,34,6.111694212258483,3.412156858018037,0.1321611544158986,0.0701323198957274,4.7022129637827685,0.13830038128772848,0.0638306587934494,0.013881314545869827
h18.mlp.c_f,33,33,6.082930631160036,3.3690671861302177,0.19568430877902673,0.0684148942061116,3.978557129340995,0.12056233725275743,0.054672036319971085,0.012111461721360683
h6.mlp.c_pro,46,46,6.02393871159433,17.21636450527267,0.49350713492926074,0.19447614788838433,1.262056411753665,0.02743600895116663,0.06681837141513824,0.011089879088103771
h21.attn.c_att,29,29,5.95183685357656,23.432232464994875,0.8958444772155768,0.4378694829525934,1.0564218674396153,0.03642834025653846,0.17525678873062134,0.021307604387402534
h14.mlp.c_f,32,32,5.7663206163837035,3.3045714076749992,0.16050898668829738,0.06489469705686718,5.661548099941811,0.1769233781231816,0.0545208640396595,0.01101845782250166
h5.mlp.c_f,29,29,5.7396922088557885,3.142768226509692,0.1964121917658042,0.0735826744760262,4.057487532374317,0.13991336318532127,0.07109997421503067,0.009185440838336945
h19.mlp.c_pro,48,48,5.736273716236024,15.596586935517452,0.557836284880199,0.17316012256305457,1.3195834777268274,0.027491322452642238,0.054740652441978455,0.008662748150527477
h13.mlp.c_f,31,31,5.71905134199311,3.2482625717478397,0.2595140255844146,0.06421366695440198,3.553372802306469,0.11462492910666028,0.055250950157642365,0.014358466491103172
h8.mlp.c_f,28,28,5.70978349636683,3.0620414887618663,0.16057403049033728,0.07686831027462608,4.075975527935494,0.1455705545691248,0.051080428063869476,0.0062630330212414265
h6.mlp.c_f,31,31,5.6793640343159755,3.252966890742647,0.13292421311062347,0.06643730719883559,4.767341698144692,0.15378521606918363,0.057650793343782425,0.013078391551971436
h7.mlp.c_f,34,34,5.557300964594854,3.4223119838989495,0.1392518352226223,0.05703672823376696,6.668719907881307,0.19613882082003845,0.058415576815605164,0.006090942304581404
h7.mlp.c_pro,45,45,5.46538494403888,12.586281161828639,0.37923975650393077,0.1750260024505849,1.4013600383687153,0.03114133418597145,0.05835176259279251,0.01263152714818716
h15.mlp.c_pro,46,46,5.430791671808377,11.533678165732455,0.457778020900681,0.17450544752384609,1.446523705490613,0.0314461675106655,0.0629410594701767,0.012739631347358227
h21.mlp.c_pro,46,46,5.41881254631946,13.35045883460512,0.41030685546524004,0.17029977851926248,1.3889033029411402,0.03019355006393783,0.06445055454969406,0.006003957707434893
h16.mlp.c_pro,48,48,5.399980277634147,11.258764001220767,0.42577908717622065,0.16382844537917957,1.5511993155532937,0.032316652407360286,0.07405323535203934,0.013423112221062183
h11.mlp.c_f,32,32,5.2783822692515425,3.31026051021979,0.11013081669494451,0.05439628800372712,5.984062237979122,0.18700194493684758,0.0594441182911396,0.008274883963167667
h18.mlp.c_pro,47,47,5.263319541319694,10.347688688388356,0.3561037139430658,0.16038403321557435,1.5760072730594625,0.03353206963956303,0.05429966747760773,0.010323969647288322
h10.mlp.c_f,31,31,5.228452926823592,3.245613925206737,0.15314565509791642,0.05670525817390298,4.594711861819676,0.14821651167160246,0.055658742785453796,0.008682002313435078
h23.mlp.c_pro,60,60,5.190102358297567,7.288530751457046,0.24559482368142235,0.10450156845032045,2.865441412411266,0.047757356873521103,0.06250549107789993,0.005046140868216753
h14.mlp.c_pro,42,42,5.127545111068856,12.035865138745999,0.42662912741194636,0.1736087841404951,1.4094320229540565,0.03355790530842991,0.06843752413988113,0.012337611988186836
h2.attn.c_pro,35,35,4.908043433005756,5.679109929551271,0.42935468913499625,0.2235373926076222,1.2523468905948327,0.035781339731280934,0.06839432567358017,0.01815337873995304
h9.mlp.c_f,29,29,4.90749831017648,3.2002295345971055,0.10031245297669673,0.05257009000456112,6.532349626163536,0.22525343538494952,0.049961239099502563,0.009246318601071835
h17.mlp.c_f,27,27,4.847702666384752,3.07345849105928,0.11601481944058356,0.056293406470551983,4.094343697184542,0.15164235915498306,0.0691591426730156,0.006105464417487383
h12.mlp.c_pro,39,39,4.814660557830537,11.292362376646413,0.41856113809984274,0.1711247703242553,1.4496988862719593,0.03717176631466562,0.06901215016841888,0.007363787852227688
h10.mlp.c_pro,36,36,4.812644362245988,11.356720481300052,0.38688759685692664,0.1935052876679393,1.3734205090562634,0.038150569696007317,0.07450897991657257,0.01252542994916439
h12.mlp.c_f,28,28,4.797825047438213,3.1042917815154,0.13184990103519065,0.054484890481457895,6.113640988162427,0.21834432100580095,0.05855405330657959,0.008085846900939941
